,title,original_title,overview,overview_word_count,release_date,release_year,original_language,genres,vote_average,vote_count,popularity
2493,War For The Planet Of The Apes,War for the Planet of the Apes,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",79,2017-07-11,2017,English,"['Drama', 'Science Fiction', 'War']",7.21,9427,6.5521
2494,Barbie And The Magic Of Pegasus,Barbie and the Magic of Pegasus,"Princess Annika escapes the clutches of the evil wizard, explores the wonders of Cloud Kingdom, and teams up with a magnificent winged horse - who turns out to be her sister, Princess Brietta - to defeat the wizard and break the spells that imprisoned her family.",46,2005-10-04,2005,English,"['Animation', 'Family', 'Romance']",7.21,756,4.3783
2495,I Am Legend,I Am Legend,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",68,2007-12-12,2007,English,"['Drama', 'Science Fiction', 'Thriller']",7.21,16354,9.0242
2496,The Karate Kid,The Karate Kid,"New Jersey teen Daniel LaRusso moves to Los Angeles with his mother, and soon strikes up a relationship with Ali. He quickly finds himself the target of bullying by a group of thugs, led by Ali's ex-boyfriend Johnny, who study karate at the Cobra Kai dojo under ruthless sensei John Kreese. Fortunately, Daniel befriends Mr. Miyagi, an unassuming repairman who just happens to be a martial arts master himself. Miyagi takes Daniel under his wing, training him in a more compassionate form of karate for self-defense and, later, preparing him to compete against the brutal Cobra Kai.",97,1984-06-22,1984,English,"['Action', 'Adventure', 'Drama', 'Family']",7.2,4513,5.8506
2497,Freeheld,Freeheld,New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,28,2015-10-02,2015,English,"['Romance', 'Drama']",7.209,668,4.447
2498,Reign Over Me,Reign Over Me,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.,39,2007-03-22,2007,English,['Drama'],7.209,1134,2.4426
2499,The Sunset Limited,The Sunset Limited,"A deeply religious black ex-con thwarts the suicide attempt of an asocial white college professor who tries to throw himself in front of an oncoming subway train, 'The Sunset Limited.' As the one attempts to connect on a rational, spiritual and emotional level, the other remains steadfast in his hard-earned despair. Locked in a philosophical debate, both passionately defend their personal credos and try to convert the other.",68,2011-02-12,2011,English,"['Drama', 'TV Movie']",7.208,470,1.3594
2500,Dog Pound,Dog Pound,Three juvenile delinquents arrive at a correctional center and are put under the care of an experienced guard.,18,2010-04-24,2010,English,['Drama'],7.208,383,2.2936
2501,Dragon Ball Z: Broly - The Legendary Super Saiyan,ドラゴンボールＺ 燃え尽きろ!!熱戦・烈戦・超激戦,"While the Saiyan Paragus persuades Vegeta to rule a new planet, King Kai alerts Goku of the South Galaxy's destruction by an unknown Super Saiyan.",25,1993-03-06,1993,Japanese,"['Animation', 'Science Fiction', 'Action']",7.2,958,8.4032
2502,Bound,Bound,"Corky, a tough female ex-convict working on an apartment renovation in a Chicago building, meets a couple living next door, Caesar, a paranoid mobster, and Violet, his seductive girlfriend, who is immediately attracted to her.",35,1996-09-13,1996,English,"['Drama', 'Thriller', 'Crime']",7.208,1022,7.7055
2503,Strays,Strays,"When Reggie is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with Bug, a fast-talking, foul-mouthed stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is.",70,2023-08-17,2023,English,"['Comedy', 'Adventure']",7.2,946,4.2338
2504,Time To Hunt,사냥의 시간,"Four young men want to leave their dystopian world behind and go to a distant paradise to execute a money robbery, a daring act that will have unexpected consequences.",29,2020-02-22,2020,Korean,"['Drama', 'Action', 'Thriller']",7.207,334,4.6442
2505,To The Bone,To the Bone,A young woman dealing with anorexia meets an unconventional doctor who challenges her to face her condition and embrace life.,20,2017-01-22,2017,English,['Drama'],7.207,3554,2.6863
2506,Woman At War,Kona fer í stríð,Halla declares a one-woman-war on the local aluminium industry. She is prepared to risk everything to protect the pristine Icelandic Highlands she loves… Until an orphan unexpectedly enters her life.,30,2018-05-22,2018,Icelandic,"['Drama', 'Thriller', 'Comedy']",7.2,423,3.286
2507,Thief,Thief,"Frank is an expert professional safecracker, specialized in high-profile diamond heists. He plans to use his ill-gotten income to retire from crime and build a nice life for himself complete with a home, wife and kids. To accelerate the process, he signs on with a top gangster for a big score.",51,1981-03-27,1981,English,"['Crime', 'Thriller', 'Drama']",7.207,772,5.8571
2508,Breakfast On Pluto,Breakfast on Pluto,"In the 1970s, a young transgender woman called “Kitten” leaves her small Irish town for London in search of love, acceptance, and her long-lost mother.",25,2005-11-16,2005,English,"['Drama', 'Comedy']",7.2,416,2.4978
2509,The Wing Or The Thigh?,L'Aile ou la Cuisse,"Charles Duchemin, a well-known gourmet and publisher of a famous restaurant guide, is waging a war against fast food entrepreneur Tri- catel to save the French art of cooking. After having agreed to appear on a talk show to show his skills in naming food and wine by taste, he is confronted with two disasters: his son wants to become a clown rather than a restaurant tester and he, the famous Charles Duchemin, has lost his taste!",77,1976-10-27,1976,French,['Comedy'],7.207,933,2.515
2510,The Secret Life Of Walter Mitty,The Secret Life of Walter Mitty,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,21,2013-12-18,2013,English,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",7.2,7953,6.0896
2511,Funny Girl,Funny Girl,"The life of famed 1930s comedienne Fanny Brice, from her early days in the Jewish slums of New York, to the height of her career with the Ziegfeld Follies, as well as her marriage to the rakish gambler Nick Arnstein.",40,1968-09-19,1968,English,"['Comedy', 'Drama', 'Romance']",7.206,411,1.5373
2512,Tootsie,Tootsie,"When struggling, out of work actor Michael Dorsey secretly adopts a female alter ego – Dorothy Michaels – in order to land a part in a daytime drama, he unwittingly becomes a feminist icon and ends up in a romantic pickle.",41,1982-12-17,1982,English,"['Comedy', 'Romance']",7.206,1848,7.2382
2513,Jules,Jules,"A flying saucer lands in the backyard of an elderly suburbanite with memory problems, who forms a bond with the scared alien inside.",23,2023-08-10,2023,English,"['Comedy', 'Science Fiction', 'Drama']",7.205,337,4.0911
2514,The Neverending Story,Die unendliche Geschichte,"While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing.",54,1984-04-06,1984,German,"['Adventure', 'Fantasy', 'Family', 'Drama']",7.205,4211,5.1127
2515,The Edge Of Heaven,Auf der anderen Seite,"The lives of six German-Turkish immigrants are drawn together by circumstance: An old man and a prostitute forging a partnership, a young scholar reconciling his past, two young women falling in love, and a mother putting the shattered pieces of her life back together.",44,2007-09-27,2007,German,['Drama'],7.205,334,1.5466
